m|sigma|e|k_ab|e_ab|mu|na|nb|inchi|smiles
2.219599962234497|4.371300220489502|449.9194030761719|0.1198|1162.1746|0.0|4.0|2.0|InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)|Oc1ccnc(O)n1
4.427800178527832|3.885499954223633|236.43299865722656|0.005|2444.6247|0.0|1.0|0.0|InChI=1S/C11H24O/c1-7-8-12-11(5,6)9-10(2,3)4/h7-9H2,1-6H3|CCCOC(C)(C)CC(C)(C)C
3.725399971008301|3.9022998809814453|280.1424865722656|0.0|0.0|0.0|0.0|0.0|InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3/t10-/m0/s1|C=C(C)[C@H]1CC=C(C)CC1
5.059199810028076|3.4407999515533447|282.99798583984375|0.0051|1529.026|0.0|1.0|1.0|InChI=1S/C8H11N/c1-9-7-8-5-3-2-4-6-8/h2-6,9H,7H2,1H3|CNCc1ccccc1
2.383699893951416|3.6493000984191895|283.6980895996094|0.0|0.0|0.0|0.0|0.0|InChI=1S/3CH3.Sb/h3*1H3;|[CH3].[CH3].[CH3].[Sb]
6.101600170135498|4.466300010681152|316.7134094238281|0.002|5923.7255|0.0|2.0|0.0|InChI=1S/C11H21N2O.BF4/c1-3-4-5-6-9-14-11-13-8-7-12(2)10-13;2-1(3,4)5/h7-8,10H,3-6,9,11H2,1-2H3;/q+1;-1|CCCCCCOCn1cc[n+](C)c1.F[B-](F)(F)F
4.9375|3.720900058746338|248.23680114746094|0.0005|3150.4809|0.0|2.0|0.0|InChI=1S/C8H14O2/c1-3-4-5-6-7-10-8(2)9/h4-5H,3,6-7H2,1-2H3/b5-4-|CC/C=C\CCOC(C)=O
9.2052001953125|3.896399974822998|252.02679443359375|0.0|0.0|0.0|0.0|0.0|InChI=1S/C22H46/c1-3-5-7-9-11-13-15-17-19-21-22-20-18-16-14-12-10-8-6-4-2/h3-22H2,1-2H3|CCCCCCCCCCCCCCCCCCCCCC
4.3460001945495605|4.445400238037109|508.4208068847656|0.0007|4071.7135|0.0|5.0|0.0|InChI=1S/C8H15N2O.CHF3O3S/c1-3-9-4-5-10(8-9)6-7-11-2;2-1(3,4)8(5,6)7/h4-5,8H,3,6-7H2,1-2H3;(H,5,6,7)/q+1;/p-1|CC[n+]1ccn(CCOC)c1.O=S(=O)([O-])C(F)(F)F
7.1915998458862305|4.19980001449585|273.9779968261719|0.0007|467.5263|0.0|2.0|0.0|InChI=1S/C16H35O2P.C11H26P/c1-13(9-15(3,4)5)11-19(17,18)12-14(2)10-16(6,7)8;1-5-6-7-8-9-10-11-12(2,3)4/h13-14H,9-12H2,1-8H3,(H,17,18);5-11H2,1-4H3/q;+1/p-1|CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCC[P+](C)(C)C
5.344699859619141|4.385900020599365|319.94879150390625|0.0251|2161.4878|0.0|2.0|0.0|InChI=1S/C8H15N2.C2HF3O2/c1-3-4-5-10-7-6-9(2)8-10;3-2(4,5)1(6)7/h6-8H,3-5H2,1-2H3;(H,6,7)/q+1;/p-1|CCCCn1cc[n+](C)c1.O=C([O-])C(F)(F)F
6.758200168609619|3.5074000358581543|258.2358093261719|0.0011|3344.3927|0.0|7.0|1.0|InChI=1S/C12H20O7/c1-4-17-9(13)7-12(16,11(15)19-6-3)8-10(14)18-5-2/h16H,4-8H2,1-3H3|CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC
